year,month,day,season_name,hour_24h,beehive_temperature_c,beehive_humidity_percent,beehive_weight_kg,beehive_sound_db,beehive_activity_0_10,co2_ppm,voc_level,pollen_level,latitude,longitude,beehive_sun_exposure
2024,November,01,spring,00:00,14.5,82,48.52,42,1,425,Low,Low,-35.0497,-58.4278,Sun
2024,November,01,spring,01:00,14.0,83,48.53,41,1,420,Low,Low,-35.0497,-58.4278,Sun
2024,November,01,spring,02:00,13.5,84,48.53,40,1,415,Low,Low,-35.0497,-58.4278,Sun
2024,November,01,spring,03:00,13.0,85,48.54,40,1,410,Low,Low,-35.0497,-58.4278,Sun
2024,November,01,spring,04:00,12.5,86,48.54,40,1,405,Low,Low,-35.0497,-58.4278,Sun
2024,November,01,spring,05:00,12.0,87,48.55,41,1,400,Low,Low,-35.0497,-58.4278,Sun
2024,November,01,spring,06:00,12.8,85,48.56,43,2,410,Low,Low,-35.0497,-58.4278,Sun
2024,November,01,spring,07:00,14.2,82,48.57,48,3,425,Low,Medium,-35.0497,-58.4278,Sun
2024,November,01,spring,08:00,16.5,78,48.58,55,5,450,Medium,Medium,-35.0497,-58.4278,Sun
2024,November,01,spring,09:00,18.8,73,48.60,62,7,480,Medium,Medium,-35.0497,-58.4278,Sun
2024,November,01,spring,10:00,20.5,68,48.62,68,8,510,Medium,High,-35.0497,-58.4278,Sun
2024,November,01,spring,11:00,22.1,64,48.64,72,9,535,High,High,-35.0497,-58.4278,Sun
2024,November,01,spring,12:00,23.0,62,48.66,75,9,550,High,High,-35.0497,-58.4278,Sun
2024,November,01,spring,13:00,23.5,60,48.68,74,9,560,High,High,-35.0497,-58.4278,Sun
2024,November,01,spring,14:00,23.2,61,48.70,73,9,555,High,High,-35.0497,-58.4278,Sun
2024,November,01,spring,15:00,22.5,63,48.71,70,8,540,High,Medium,-35.0497,-58.4278,Sun
2024,November,01,spring,16:00,21.0,66,48.72,65,7,515,Medium,Medium,-35.0497,-58.4278,Sun
2024,November,01,spring,17:00,19.2,70,48.73,58,6,490,Medium,Medium,-35.0497,-58.4278,Sun
2024,November,01,spring,18:00,17.5,74,48.74,52,4,460,Medium,Low,-35.0497,-58.4278,Sun
2024,November,01,spring,19:00,16.0,77,48.75,48,3,440,Low,Low,-35.0497,-58.4278,Sun
2024,November,01,spring,20:00,15.2,79,48.76,45,2,430,Low,Low,-35.0497,-58.4278,Sun
2024,November,01,spring,21:00,14.8,80,48.76,43,1,425,Low,Low,-35.0497,-58.4278,Sun
2024,November,01,spring,22:00,14.6,81,48.77,42,1,420,Low,Low,-35.0497,-58.4278,Sun
2024,November,01,spring,23:00,14.5,82,48.77,41,1,415,Low,Low,-35.0497,-58.4278,Sun
2024,November,02,spring,00:00,14.3,83,48.78,41,1,410,Low,Low,-35.0497,-58.4278,Sun
2024,November,02,spring,01:00,13.9,84,48.78,40,1,405,Low,Low,-35.0497,-58.4278,Sun
2024,November,02,spring,02:00,13.4,85,48.79,40,1,400,Low,Low,-35.0497,-58.4278,Sun
2024,November,02,spring,03:00,12.9,86,48.79,40,1,395,Low,Low,-35.0497,-58.4278,Sun
2024,November,02,spring,04:00,12.4,87,48.80,40,1,390,Low,Low,-35.0497,-58.4278,Sun
2024,November,02,spring,05:00,11.9,88,48.80,41,1,385,Low,Low,-35.0497,-58.4278,Sun
2024,November,02,spring,06:00,12.7,86,48.81,43,2,395,Low,Low,-35.0497,-58.4278,Sun
2024,November,02,spring,07:00,14.1,83,48.82,48,3,410,Low,Medium,-35.0497,-58.4278,Sun
2024,November,02,spring,08:00,16.4,79,48.83,55,5,435,Medium,Medium,-35.0497,-58.4278,Sun
2024,November,02,spring,09:00,18.7,74,48.85,62,7,465,Medium,Medium,-35.0497,-58.4278,Sun
2024,November,02,spring,10:00,20.4,69,48.87,68,8,495,Medium,High,-35.0497,-58.4278,Sun
2024,November,02,spring,11:00,22.0,65,48.89,72,9,520,High,High,-35.0497,-58.4278,Sun
2024,November,02,spring,12:00,22.9,63,48.91,75,9,535,High,High,-35.0497,-58.4278,Sun
2024,November,02,spring,13:00,23.4,61,48.93,74,9,545,High,High,-35.0497,-58.4278,Sun
2024,November,02,spring,14:00,23.1,62,48.95,73,9,540,High,High,-35.0497,-58.4278,Sun
2024,November,02,spring,15:00,22.4,64,48.96,70,8,525,High,Medium,-35.0497,-58.4278,Sun
